title,company,location,stipend,skills,url
Artificial Intelligence (AI),Echotalk,Work from home,"₹ 5,000 - 10,000 /month",Python Machine Learning Natural Language Processing (NLP) Artificial intelligence PyTorch,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-echotalk1788443323
Artificial Intelligence (AI),Basti Ki Pathshala Foundation,Work from home,Unpaid,Python Data Structures Machine Learning Data Science Neural Networks English Proficiency (Spoken) Natural Language Processing (NLP) +6 more,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-basti-ki-pathshala-foundation1788437767
Artificial Intelligence (AI),Pledge India Foundation,Work from home,Unpaid,Python Data Structures Machine Learning Data Science Deep Learning Artificial intelligence Effective Communication,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-pledge-india-foundation1788435278
Business Consultant,Benchmark Six Sigma,Noida (Hybrid),"₹ 20,000 - 22,000 /month",MS-Office Attention to Detail Logical reasoning Report Writing Business Management English Proficiency (Written),https://internshala.com/internship/detail/business-consultant-internship-in-noida-at-benchmark-six-sigma1788429727
AI Generalist,Sunstone,Gurgaon,"₹ 25,000 - 30,000 /month",Artificial intelligence,https://internshala.com/internship/detail/ai-generalist-internship-in-gurgaon-at-sunstone1788429523
Founding Engineer (AI Performance),CoreOptX,Bangalore,"₹ 5,000 - 8,000 /month",Algorithms Machine Learning Computer Vision Natural Language Processing (NLP) Operating Systems Amazon EC2,https://internshala.com/internship/detail/founding-engineer-ai-performance-internship-in-bangalore-at-coreoptx1788421135
Data Science & Benchmarks,Arakoo,"Faridabad, Delhi, Gurgaon, Jaipur, Noida, Roorkee","₹ 30,000 - 35,000 /month",Python,https://internshala.com/internship/detail/data-science-benchmarks-internship-in-multiple-locations-at-arakoo1788420373
Technical Operations,Tech Analogy,Ahmedabad,"₹ 5,000 - 8,000 /month",Content Writing SolidWorks Robotics Operations Neural Networks Robot Operating System (ROS) Market research +2 more,https://internshala.com/internship/detail/technical-operations-internship-in-ahmedabad-at-tech-analogy1788409012
Computer Vision Scientist,TSTEPS PRIVATE LIMITED,"Chennai, Keralapuram (Hybrid)","₹ 10,000 - 15,000 /month",MS SQL Server NumPy,https://internshala.com/internship/detail/computer-vision-scientist-internship-in-multiple-locations-at-tsteps-private-limited1788408924
NLP Scientist,TSTEPS PRIVATE LIMITED,"Hyderabad, Keralapuram (Hybrid)","₹ 10,000 - 15,000 /month",SQL NumPy Pandas,https://internshala.com/internship/detail/nlp-scientist-internship-in-multiple-locations-at-tsteps-private-limited1788408879
Applied Scientist,TSTEPS PRIVATE LIMITED,"Chennai, Hyderabad (Hybrid)","₹ 10,000 - 15,000 /month",Python MS SQL Server Jupyter Notebook,https://internshala.com/internship/detail/applied-scientist-internship-in-multiple-locations-at-tsteps-private-limited1788408859
AI Scientist,TSTEPS PRIVATE LIMITED,"Chennai, Hyderabad (Hybrid)","₹ 10,000 - 15,000 /month",Git MS SQL Server NumPy Pandas,https://internshala.com/internship/detail/ai-scientist-internship-in-multiple-locations-at-tsteps-private-limited1788408839
Artificial Intelligence (AI),Gateway Software Solutions,"Chennai, Coimbatore, Erode, Madurai, Sivakasi, Tenkasi, Namakkal, Theni, Rasipuram, Dharmapuri, Kanchipuram, Salem, Viluppuram, Tamil Nadu, Tiruchirappalli (Hybrid)","₹ 7,500 - 12,500 /month",Python Natural Language Processing (NLP) Deep Learning Artificial intelligence Prompt Engineering LLM evaluation,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-multiple-locations-at-gateway-software-solutions1788408200
AI Skills Trainer,Skill3X,Work from home,"₹ 2,000 - 60,000 /month",Presentation skills Teaching Automation Training and Development Effective Communication Generative AI Tools Prompt Engineering +2 more,https://internshala.com/internship/detail/work-from-home-ai-skills-trainer-internship-at-skill3x1788398934
AI Agent Development,Gigin Technologies Private Limited,Work from home,"₹ 20,000 - 30,000 /month",Python Natural Language Processing (NLP) Artificial intelligence Generative AI Development Hugging Face Prompt Engineering ChatGPT +1 more,https://internshala.com/internship/detail/work-from-home-ai-agent-development-internship-at-gigin-technologies-private-limited1788352632
Machine Learning Scientist,TSTEPS PRIVATE LIMITED,"Chennai, Bangalore (Hybrid)","₹ 10,000 - 15,000 /month",Python MS SQL Server Data Annotation,https://internshala.com/internship/detail/machine-learning-scientist-internship-in-multiple-locations-at-tsteps-private-limited1788352941
Machine Learning,Basti Ki Pathshala Foundation,Work from home,Unpaid,HTML Python Data Analytics Machine Learning R Programming Data Science Natural Language Processing (NLP) +2 more,https://internshala.com/internship/detail/work-from-home-part-time-machine-learning-internship-at-basti-ki-pathshala-foundation1788352897
Machine Learning Scientist,TSTEPS PRIVATE LIMITED,"Chennai, Bangalore (Hybrid)","₹ 10,000 - 15,000 /month",MS SQL Server Power BI Data Annotation,https://internshala.com/internship/detail/machine-learning-scientist-internship-in-multiple-locations-at-tsteps-private-limited1788352413
Machine Learning,TSTEPS PRIVATE LIMITED,"Chennai, Bangalore (Hybrid)","₹ 10,000 - 15,000 /month",Data Analytics Machine Learning R Programming Data Science Natural Language Processing (NLP) Deep Learning Artificial intelligence,https://internshala.com/internship/detail/machine-learning-internship-in-multiple-locations-at-tsteps-private-limited1788350315
Data Engineer,TSTEPS PRIVATE LIMITED,"Chennai, Bangalore (Hybrid)","₹ 10,000 - 15,000 /month",Python MS SQL Server Power BI Data Extraction,https://internshala.com/internship/detail/data-engineer-internship-in-multiple-locations-at-tsteps-private-limited1788350193
